title,authors,date,tags,link
Apple’s stock surges on solid earnings and $110bn share buyback plan,['Tina Teng'],2024-05-03,"['Apple', 'Tim Cook', 'iPhone']",https://www.euronews.com/business/2024/05/03/apples-stock-surges-on-solid-earnings-and-110bn-share-buyback-plan
Who will win Eurovision 2024? Here are Euronews Culture's predictions,['AP'],2024-05-03,"['Pop music', 'Sweden', 'Eurovision song contest', 'Music', 'Europe']",https://www.euronews.com/culture/2024/05/03/who-will-win-eurovision-2024-here-are-euronews-cultures-predictions
Scientists' discovery under Atacama desert could help search for life on planets like Mars,"['Euronews', 'AP']",2024-05-03,"['planet', 'geology', 'desert', 'Mars']",https://www.euronews.com/next/2024/05/03/scientists-discovery-under-atacama-desert-could-help-search-for-life-on-other-planets
France ranked the most attractive European country for foreign investors,['Tina Teng'],2024-05-03,"['France', 'start-up', 'Foreign Investment']",https://www.euronews.com/business/2024/05/03/france-ranked-the-most-attractive-european-country-for-foreign-investors
Zendaya and Sleeping Beauties: Everything you need to know about this year's Met Gala,"['Theo Farrant, Elise Morton, Anca Ulea, Jonny Walfisz']",2024-05-03,"['Met Gala', 'Museum', 'Fashion', 'Vogue Magazine']",https://www.euronews.com/culture/2024/05/03/zendaya-and-sleeping-beauties-everything-you-need-to-know-about-this-years-met-gala
EU Policy. Italy to challenge Nutri-Score with constitution,Marta Iraola Iribarren,2024-05-03,"['Nutritional health', 'European Commission', 'Giorgia Meloni', 'EU Policy', 'Food', 'European elections 2024']",https://www.euronews.com/health/2024/05/03/italy-to-challenge-nutri-score-with-constitution
Euronews Culture's Film of the Week: 'Pendant ce temps sur Terre' ('Meanwhile on Earth'),['AP'],2024-05-03,"['loss', 'Cinema', 'film', 'Culture Film of the Week', 'aliens']",https://www.euronews.com/culture/2024/05/03/euronews-cultures-film-of-the-week-pendant-ce-temps-sur-terre-meanwhile-on-earth
How will the French far right affect Europe if they win the election?,['Euronews'],2024-05-03,"['France', 'Eric Zemmour', 'Emmanuel Macron', 'Far-right', 'European elections 2024']",https://www.euronews.com/2024/05/03/how-will-the-french-far-right-affect-europe-if-they-win-the-election
Yoga among masterpieces: Paris' Louvre opens its galleries for sweaty Olympic-style workouts,David Mouriquand,2024-05-03,"['yoga', 'Museum', 'Paris Olympics', 'Louvre']",https://www.euronews.com/culture/2024/05/03/yoga-among-masterpieces-paris-louvre-opens-its-galleries-for-sweaty-olympic-style-workouts
Thousands rally in Slovakia to protest overhaul of public broadcaster,Sergio Cantone,2024-05-03,"['Slovakia', 'European Union', 'Media', 'populism', 'Europe', 'Slovakia politics']",https://www.euronews.com/2024/05/03/thousands-rally-in-slovakia-to-protestoverhaul-of-public-broadcasting
