Day Index,Avg. Session Duration,seconds,z-score,baseline_iso_forest,baseline_lof
2021-08-26,0 days 00:01:05,65.0,-1.8159615384615384,1,1
2021-08-27,0 days 00:01:33,93.0,-0.3631923076923077,1,1
2021-08-28,0 days 00:01:34,94.0,-0.3113076923076923,1,1
2021-08-29,0 days 00:01:16,76.0,-1.2452307692307691,1,1
2021-08-30,0 days 00:01:22,82.0,-0.933923076923077,1,1
2021-08-31,0 days 00:01:22,82.0,-0.933923076923077,1,1
2021-09-01,0 days 00:01:25,85.0,-0.7782692307692307,1,1
2021-09-02,0 days 00:01:29,89.0,-0.5707307692307693,1,1
2021-09-03,0 days 00:01:41,101.0,0.05188461538461538,1,1
2021-09-04,0 days 00:01:26,86.0,-0.7263846153846154,1,1
2021-09-05,0 days 00:01:37,97.0,-0.15565384615384614,1,1
2021-09-06,0 days 00:01:18,78.0,-1.1414615384615385,1,1
2021-09-07,0 days 00:01:11,71.0,-1.5046538461538463,1,1
2021-09-08,0 days 00:01:39,99.0,-0.05188461538461538,1,1
2021-09-09,0 days 00:01:30,90.0,-0.5188461538461538,1,1
2021-09-10,0 days 00:01:42,102.0,0.10376923076923077,1,1
2021-09-11,0 days 00:01:28,88.0,-0.6226153846153846,1,1
2021-09-12,0 days 00:01:20,80.0,-1.0376923076923077,1,1
2021-09-13,0 days 00:01:30,90.0,-0.5188461538461538,1,1
2021-09-14,0 days 00:01:02,62.0,-1.9716153846153845,1,1
2021-09-15,0 days 00:01:38,98.0,-0.10376923076923077,1,1
2021-09-16,0 days 00:01:16,76.0,-1.2452307692307691,1,1
2021-09-17,0 days 00:01:47,107.0,0.3631923076923077,1,1
2021-09-18,0 days 00:02:08,128.0,1.4527692307692308,1,1
2021-09-19,0 days 00:02:09,129.0,1.5046538461538463,1,1
2021-09-20,0 days 00:01:33,93.0,-0.3631923076923077,1,1
2021-09-21,0 days 00:01:25,85.0,-0.7782692307692307,1,1
2021-09-22,0 days 00:01:23,83.0,-0.8820384615384615,1,1
2021-09-23,0 days 00:01:16,76.0,-1.2452307692307691,1,1
2021-09-24,0 days 00:01:22,82.0,-0.933923076923077,1,1
2021-09-25,0 days 00:01:07,67.0,-1.7121923076923076,1,1
2021-09-26,0 days 00:01:47,107.0,0.3631923076923077,1,1
2021-09-27,0 days 00:01:32,92.0,-0.41507692307692307,1,1
2021-09-28,0 days 00:01:34,94.0,-0.3113076923076923,1,1
2021-09-29,0 days 00:01:41,101.0,0.05188461538461538,1,1
2021-09-30,0 days 00:01:45,105.0,0.2594230769230769,1,1
2021-10-01,0 days 00:01:43,103.0,0.15565384615384614,1,1
2021-10-02,0 days 00:02:00,120.0,1.0376923076923077,1,1
2021-10-03,0 days 00:01:56,116.0,0.8301538461538461,1,1
2021-10-04,0 days 00:01:52,112.0,0.6226153846153846,1,1
2021-10-05,0 days 00:01:15,75.0,-1.2971153846153847,1,1
2021-10-06,0 days 00:01:43,103.0,0.15565384615384614,1,1
2021-10-07,0 days 00:01:33,93.0,-0.3631923076923077,1,1
2021-10-08,0 days 00:01:44,104.0,0.20753846153846153,1,1
2021-10-09,0 days 00:02:07,127.0,1.4008846153846155,1,1
2021-10-10,0 days 00:01:27,87.0,-0.6745,1,1
2021-10-11,0 days 00:02:03,123.0,1.1933461538461538,1,1
2021-10-12,0 days 00:01:39,99.0,-0.05188461538461538,1,1
2021-10-13,0 days 00:02:00,120.0,1.0376923076923077,1,1
2021-10-14,0 days 00:01:49,109.0,0.4669615384615385,1,1
2021-10-15,0 days 00:02:09,129.0,1.5046538461538463,1,1
2021-10-16,0 days 00:01:24,84.0,-0.8301538461538461,1,1
2021-10-17,0 days 00:01:20,80.0,-1.0376923076923077,1,1
2021-10-18,0 days 00:01:36,96.0,-0.20753846153846153,1,1
2021-10-19,0 days 00:01:10,70.0,-1.5565384615384614,1,1
2021-10-20,0 days 00:01:33,93.0,-0.3631923076923077,1,1
2021-10-21,0 days 00:01:46,106.0,0.3113076923076923,1,1
2021-10-22,0 days 00:01:47,107.0,0.3631923076923077,1,1
2021-10-23,0 days 00:01:32,92.0,-0.41507692307692307,1,1
2021-10-24,0 days 00:01:36,96.0,-0.20753846153846153,1,1
2021-10-25,0 days 00:01:50,110.0,0.5188461538461538,1,1
2021-10-26,0 days 00:02:11,131.0,1.608423076923077,1,1
2021-10-27,0 days 00:01:59,119.0,0.9858076923076923,1,1
2021-10-28,0 days 00:01:40,100.0,0.0,1,1
2021-10-29,0 days 00:01:41,101.0,0.05188461538461538,1,1
2021-10-30,0 days 00:01:38,98.0,-0.10376923076923077,1,1
2021-10-31,0 days 00:02:03,123.0,1.1933461538461538,1,1
2021-11-01,0 days 00:01:06,66.0,-1.764076923076923,1,1
2021-11-02,0 days 00:01:40,100.0,0.0,1,1
2021-11-03,0 days 00:01:44,104.0,0.20753846153846153,1,1
2021-11-04,0 days 00:01:57,117.0,0.8820384615384615,1,1
2021-11-05,0 days 00:01:38,98.0,-0.10376923076923077,1,1
2021-11-06,0 days 00:02:30,150.0,2.5942307692307693,1,1
2021-11-07,0 days 00:01:45,105.0,0.2594230769230769,1,1
2021-11-08,0 days 00:02:03,123.0,1.1933461538461538,1,1
2021-11-09,0 days 00:01:41,101.0,0.05188461538461538,1,1
2021-11-10,0 days 00:01:21,81.0,-0.9858076923076923,1,1
2021-11-11,0 days 00:01:17,77.0,-1.1933461538461538,1,1
2021-11-12,0 days 00:01:59,119.0,0.9858076923076923,1,1
2021-11-13,0 days 00:01:52,112.0,0.6226153846153846,1,1
2021-11-14,0 days 00:01:19,79.0,-1.089576923076923,1,1
2021-11-15,0 days 00:02:05,125.0,1.2971153846153847,1,1
2021-11-16,0 days 00:02:11,131.0,1.608423076923077,1,1
2021-11-17,0 days 00:02:08,128.0,1.4527692307692308,1,1
2021-11-18,0 days 00:01:54,114.0,0.7263846153846154,1,1
2021-11-19,0 days 00:01:51,111.0,0.5707307692307693,1,1
2021-11-20,0 days 00:01:39,99.0,-0.05188461538461538,1,1
2021-11-21,0 days 00:01:38,98.0,-0.10376923076923077,1,1
2021-11-22,0 days 00:01:30,90.0,-0.5188461538461538,1,1
2021-11-23,0 days 00:01:35,95.0,-0.2594230769230769,1,1
2021-11-24,0 days 00:01:33,93.0,-0.3631923076923077,1,1
2021-11-25,0 days 00:01:26,86.0,-0.7263846153846154,1,1
2021-11-26,0 days 00:01:45,105.0,0.2594230769230769,1,1
