Day Index,Pageviews,z-score,baseline_iso_forest,baseline_lof
2022-02-06,8051,-1.0693399094437257,1,1
2022-02-07,13783,0.1810591849935317,1,1
2022-02-08,14725,0.38655045278137123,1,1
2022-02-09,16405,0.7530316946959896,1,1
2022-02-10,14154,0.26199045924967657,1,1
2022-02-11,13267,0.06849708926261319,1,1
2022-02-12,6503,-1.4070261966364812,1,1
2022-02-13,7394,-1.2126602522639067,1,1
2022-02-14,12153,-0.17451487710219923,1,1
2022-02-15,14966,0.43912305950840874,1,1
2022-02-16,14960,0.43781419793014226,1,1
2022-02-17,14019,0.23254107373868044,1,1
2022-02-18,10857,-0.45722897800776197,1,1
2022-02-19,5683,-1.5859039456662354,1,1
2022-02-20,6775,-1.3476911384217334,1,1
2022-02-21,8363,-1.001279107373868,1,1
2022-02-22,12355,-0.13044987063389393,1,1
2022-02-23,12554,-0.08703929495472186,1,1
2022-02-24,12560,-0.08573043337645538,1,1
2022-02-25,11593,-0.29667529107373863,1,1
2022-02-26,5880,-1.5429296571798188,1,1
2022-02-27,7461,-1.1980446313065976,1,1
2022-02-28,11724,-0.2680984799482536,1,1
2022-03-01,12248,-0.15379123544631307,1,1
2022-03-02,13466,0.11190766494178525,1,1
2022-03-03,12535,-0.09118402328589909,1,1
2022-03-04,10473,-0.5409961190168175,1,1
2022-03-05,6982,-1.3025354139715395,1,1
2022-03-06,8299,-1.015240297542044,1,1
2022-03-07,13720,0.1673161384217335,1,1
2022-03-08,14435,0.32328880983182406,1,1
2022-03-09,14014,0.2314503557567917,1,1
2022-03-10,13979,0.2238153298835705,1,1
2022-03-11,8876,-0.8893714424320828,1,1
2022-03-12,6201,-1.4729055627425616,1,1
2022-03-13,7083,-1.2805029107373869,1,1
2022-03-14,13057,0.022686934023285896,1,1
2022-03-15,13081,0.027922380336351877,1,1
2022-03-16,14633,0.3664812419146184,1,1
2022-03-17,15447,0.5440501293661061,1,1
2022-03-18,12022,-0.20309168822768434,1,1
2022-03-19,7317,-1.2294573091849936,1,1
2022-03-20,7374,-1.2170231241914617,1,1
2022-03-21,14445,0.3254702457956015,1,1
2022-03-22,14033,0.23559508408796898,1,1
2022-03-23,14806,0.40422008408796894,1,1
2022-03-24,21500,1.864473318240621,1,1
2022-03-25,16233,0.7155109961190168,1,1
2022-03-26,7687,-1.1487441785252264,1,1
2022-03-27,8868,-0.8911165912031048,1,1
2022-03-28,14539,0.34597574385511,1,1
2022-03-29,14513,0.3403040103492885,1,1
2022-03-30,15471,0.5492855756791721,1,1
2022-03-31,16047,0.6749362871927554,1,1
2022-04-01,12949,-0.0008725743855109962,1,1
2022-04-02,7055,-1.2866109314359637,1,1
2022-04-03,7694,-1.147217173350582,1,1
2022-04-04,16129,0.6928240620957309,1,1
2022-04-05,16039,0.6731911384217335,1,1
2022-04-06,34968,4.802431274256145,-1,1
2022-04-07,24429,2.503415912031048,1,1
2022-04-08,17974,1.0952989974126779,1,1
2022-04-09,9235,-0.811057891332471,1,1
2022-04-10,9436,-0.7672110284605433,1,1
2022-04-11,17033,0.8900258732212161,1,1
2022-04-12,16118,0.6904244825355756,1,1
2022-04-13,15270,0.5054387128072445,1,1
2022-04-14,16382,0.7480143919793013,1,1
2022-04-15,13812,0.1873853492884864,1,1
2022-04-16,8569,-0.9563415265200517,1,1
2022-04-17,7199,-1.2551982535575679,1,1
2022-04-18,15587,0.5745902328589909,1,1
2022-04-19,16828,0.8453064359637775,1,1
2022-04-20,17206,0.9277647153945665,1,1
2022-04-21,18682,1.2497446636481242,1,1
2022-04-22,14054,0.24017609961190167,1,1
2022-04-23,7896,-1.1031521668822768,1,1
