Day Index,1 Day Active Users,z-score,baseline_iso_forest,baseline_lof
2021-10-14,2499,0.22183862704918034,1,1
2021-10-15,2249,-0.12370440573770491,1,1
2021-10-16,1448,-1.2308242827868852,1,1
2021-10-17,1474,-1.194887807377049,1,1
2021-10-18,2680,0.4720117827868852,1,1
2021-10-19,3485,1.5846603483606558,1,1
2021-10-20,3017,0.9378037909836066,1,1
2021-10-21,2659,0.44298616803278684,1,1
2021-10-22,1914,-0.5867320696721311,1,1
2021-10-23,1431,-1.2543212090163933,1,1
2021-10-24,1492,-1.1700087090163935,1,1
2021-10-25,2858,0.7180384221311474,1,1
2021-10-26,3311,1.3441623975409835,1,1
2021-10-27,2787,0.6199042008196721,1,1
2021-10-28,2772,0.5991716188524591,1,1
2021-10-29,2286,-0.0725640368852459,1,1
2021-10-30,1375,-1.3317228483606558,1,1
2021-10-31,1398,-1.2999328893442623,1,1
2021-11-01,2510,0.23704252049180327,1,1
2021-11-02,2685,0.4789226434426229,1,1
2021-11-03,3384,1.4450609631147542,1,1
2021-11-04,3260,1.273671618852459,1,1
2021-11-05,2528,0.261921618852459,1,1
2021-11-06,1514,-1.1396009221311474,1,1
2021-11-07,1791,-0.7567392418032787,1,1
2021-11-08,2990,0.900485143442623,1,1
2021-11-09,2978,0.8838990778688524,1,1
2021-11-10,2811,0.6530763319672132,1,1
2021-11-11,2881,0.7498283811475409,1,1
2021-11-12,2523,0.2550107581967213,1,1
2021-11-13,1639,-0.9668294057377049,1,1
2021-11-14,1749,-0.8147904713114754,1,1
2021-11-15,2784,0.6157576844262296,1,1
2021-11-16,2756,0.5770568647540983,1,1
2021-11-17,2990,0.900485143442623,1,1
2021-11-18,2969,0.8714595286885246,1,1
2021-11-19,2490,0.20939907786885248,1,1
2021-11-20,1714,-0.8631664959016394,1,1
2021-11-21,1856,-0.6668980532786886,1,1
2021-11-22,3225,1.2252955942622952,1,1
2021-11-23,2839,0.6917771516393443,1,1
2021-11-24,2768,0.5936429303278689,1,1
2021-11-25,2278,-0.08362141393442622,1,1
2021-11-26,2531,0.26606813524590167,1,1
2021-11-27,1716,-0.8604021516393442,1,1
2021-11-28,1872,-0.6447832991803278,1,1
2021-11-29,3282,1.304079405737705,1,1
2021-11-30,3005,0.921217725409836,1,1
2021-12-01,2998,0.9115425204918032,1,1
2021-12-02,2984,0.8921921106557377,1,1
2021-12-03,8390,8.364214651639344,-1,-1
2021-12-04,4658,3.205948258196721,1,1
2021-12-05,3475,1.5708386270491803,1,1
2021-12-06,4338,2.763653176229508,1,1
2021-12-07,4076,2.4015240778688525,1,1
2021-12-08,3858,2.1002105532786883,1,1
2021-12-09,3861,2.104357069672131,1,1
2021-12-10,3300,1.3289585040983607,1,1
2021-12-11,1993,-0.4775404713114754,1,1
2021-12-12,2019,-0.44160399590163935,1,1
2021-12-13,3120,1.0801675204918033,1,1
2021-12-14,3047,0.9792689549180328,1,1
2021-12-15,2953,0.849344774590164,1,1
2021-12-16,3053,0.987561987704918,1,1
2021-12-17,2020,-0.4402218237704918,1,1
2021-12-18,1569,-1.0635814549180327,1,1
2021-12-19,1614,-1.0013837090163935,1,1
2021-12-20,2577,0.3296480532786885,1,1
2021-12-21,2366,0.03800973360655737,1,1
2021-12-22,2266,-0.10020747950819672,1,1
2021-12-23,1914,-0.5867320696721311,1,1
2021-12-24,1170,-1.6150681352459015,1,1
2021-12-25,1208,-1.562545594262295,1,1
2021-12-26,1313,-1.4174175204918034,1,1
2021-12-27,1500,-1.1589513319672131,1,1
2021-12-28,1924,-0.5729103483606557,1,1
2021-12-29,1848,-0.6779554303278688,1,1
2021-12-30,1553,-1.0856962090163935,1,1
2021-12-31,1000,-1.8500373975409836,1,1
2022-01-01,1082,-1.7366992827868852,1,1
2022-01-02,1303,-1.4312392418032787,1,1
2022-01-03,1568,-1.0649636270491802,1,1
2022-01-04,2251,-0.12094006147540982,1,1
2022-01-05,2312,-0.03662756147540984,1,1
2022-01-06,2044,-0.4070496926229508,1,1
2022-01-07,1980,-0.49550870901639343,1,1
2022-01-08,1464,-1.2087095286885245,1,1
2022-01-09,1609,-1.0082945696721313,1,1
2022-01-10,2465,0.17484477459016393,1,1
2022-01-11,2511,0.2384246926229508,1,1
2022-01-12,2516,0.24533555327868853,1,1
2022-01-13,2445,0.1472013319672131,1,1
2022-01-14,2072,-0.36834887295081964,1,1
2022-01-15,1486,-1.1783017418032786,1,1
2022-01-16,1444,-1.2363529713114754,1,1
2022-01-17,1980,-0.49550870901639343,1,1
2022-01-18,2497,0.21907428278688523,1,1
2022-01-19,2481,0.19695952868852457,1,1
2022-01-20,2821,0.6668980532786886,1,1
2022-01-21,2132,-0.2854185450819672,1,1
2022-01-22,1535,-1.110575307377049,1,1
2022-01-23,1641,-0.9640650614754098,1,1
2022-01-24,2506,0.23151383196721312,1,1
2022-01-25,2904,0.7816183401639345,1,1
2022-01-26,2676,0.46648309426229506,1,1
2022-01-27,2882,0.7512105532786886,1,1
2022-01-28,2448,0.15134784836065573,1,1
2022-01-29,1616,-0.9986193647540984,1,1
2022-01-30,1586,-1.0400845286885245,1,1
2022-01-31,2428,0.12370440573770491,1,1
2022-02-01,2623,0.3932279713114754,1,1
2022-02-02,2844,0.6986880122950819,1,1
2022-02-03,2692,0.48859784836065573,1,1
2022-02-04,2625,0.39599231557377046,1,1
2022-02-05,1636,-0.9709759221311476,1,1
2022-02-06,1794,-0.752592725409836,1,1
2022-02-07,2702,0.5024195696721311,1,1
2022-02-08,2968,0.8700773565573771,1,1
2022-02-09,3140,1.1078109631147541,1,1
2022-02-10,2897,0.7719431352459016,1,1
2022-02-11,2726,0.5355917008196721,1,1
2022-02-12,1540,-1.1036644467213115,1,1
2022-02-13,1749,-0.8147904713114754,1,1
2022-02-14,2484,0.2011060450819672,1,1
2022-02-15,2789,0.6226685450819672,1,1
2022-02-16,3206,1.1990343237704917,1,1
2022-02-17,2761,0.5839677254098361,1,1
2022-02-18,2140,-0.2743611680327869,1,1
2022-02-19,1363,-1.3483089139344262,1,1
2022-02-20,1393,-1.3068437499999999,1,1
2022-02-21,1953,-0.532827356557377,1,1
2022-02-22,2520,0.2508642418032787,1,1
2022-02-23,2385,0.06427100409836065,1,1
2022-02-24,2269,-0.0960609631147541,1,1
2022-02-25,2043,-0.4084318647540984,1,1
2022-02-26,1416,-1.2750537909836064,1,1
2022-02-27,1444,-1.2363529713114754,1,1
2022-02-28,2188,-0.2080169057377049,1,1
2022-03-01,2409,0.09744313524590165,1,1
2022-03-02,2601,0.36282018442622954,1,1
2022-03-03,2491,0.21078125,1,1
2022-03-04,2031,-0.42501793032786883,1,1
2022-03-05,1533,-1.1133396516393443,1,1
2022-03-06,1494,-1.1672443647540982,1,1
2022-03-07,2499,0.22183862704918034,1,1
2022-03-08,2668,0.45542571721311476,1,1
